Motor Carrier ,Company,City,County,State,clean_city
3290448.0,AN TRUCKING,FRESNO,,CA,fresno
3552210.0,ANA TRUCK LINE INC.,SACRAMENTO,,CA,sacramento
3495274.0,ANB CARGO INC,MERCED,,CA,merced
,ANCHOR TRANSPORTATION,BAKERSFIELD,Kern,CA,bakersfield
1577862.0,ANDALON TRUCKING,SOLEDAD,Monterey,CA,soledad
,ANDERSON SEAFOODS,Anaheim,Orange,CA,anaheim
1718044.0,ANDRADE TRANSPORT,SOUTH GATE,Los Angeles,CA,south gate
,ANDRIY TACHYNSKYY,Antelope,Sacramento,CA,antelope
,ANDY 'S PRODUCE,Sebastopol,Sonoma,CA,sebastopol
,ANDY OCKENDEN,Santa Rosa,Sonoma,CA,santa rosa
418738.0,ANGEL GUTIERREZ,LOS ANGELES,Los Angeles,CA,los angeles
1146904.0,ANGEL HERRERA TRUCKING,Oxnard,Ventura,CA,oxnard
2198261.0,ANGEL M TRUCKING,Salinas,Monterey,CA,salinas
,ANGEL'S FREIGHT SERVICES,VICTORVILLE,San Bernardino,CA,victorville
319975.0,ANGELS EXPRESS,Los Angeles,Los Angeles,CA,los angeles
1073165.0,ANGELS TRUCKING INC,INGLEWOOD,Los Angeles,CA,inglewood
878982.0,ANGKOR TRUCKLOAD INC,SAN DIEGO,San Diego,CA,san diego
1196726.0,ANGULO TRUCKING,MADERA,,CA,madera
1218351.0,ANGULOS TRUCKING INC,CALEXICO,Imperial,CA,calexico
,ANHEUSER-BUSCH INC,SAN DIEGO,San Diego,CA,san diego
723097.0,ANLIN INDUSTRIES,CLOVIS,,CA,clovis
2595775.0,ANMOL TRANSPORTATION CORP,FRESNO,,CA,fresno
,ANNA'S TRANSPORT,Visalia,Tulare,CA,visalia
,ANS TRANSPORT INC,PERRIS,,CA,perris
3070527.0,ANSH TRANSPORT INC,TURLOCK,,CA,turlock
2965353.0,ANSH TRUCKING,YUBA CITY,,CA,yuba city
1388173.0,ANSH TRUCKING INC,FRESNO,,CA,fresno
411453.0,ANTELOPE VALLEY PRODUCE CO,Lancaster,Los Angeles,CA,lancaster
,ANTHONY COSTA & SONS,Soledad,Monterey,CA,soledad
,ANTHONYS TRANSPORT,Rialto,San Bernardino,CA,rialto
3167913.0,ANTONIO HERNANDEZ ACUNA,MC FARLAND,,CA,mcfarland
,ANTONIO RUIZ MORENO,San Diego,San Diego,CA,san diego
1839057.0,ANU TRANSPORT,Fowler,Fresno,CA,fowler
,AP LOGISTICS,Westminster,Orange,CA,westminster
573484.0,APEX CARRIER INC,MADERA,,CA,madera
3388755.0,APH TRANS INC,PLUMAS LAKE,,CA,plumas lake
,APL TRUCKING,North Highlands,Sacramento,CA,north highlands
2855330.0,APOLLO LOGISTICS INC,Fresno,Fresno,CA,fresno
2791675.0,APOLO TRANSPORT INC,MONTEBELLO,,CA,montebello
728721.0,APS TRANS INC,BAKERSFIELD,,CA,bakersfield
932510.0,APX LLC,Yuba City,Sutter,CA,yuba city
,ARB CARGO INC,WOODLAND,Yolo,CA,woodland
2803521.0,ARB TRUCKING & LEASING INC.,AMERICAN CYN,,CA,american canyon
,ARC TRANS INC,Sacramento,Sacramento,CA,sacramento
2338152.0,ARCTIC EXPRESS LLC,San Ramon,Contra Costa,CA,san ramon
,ARCTIC GLACIER USA,Fremont,Alameda,CA,fremont
,ARELLANO TRUCKING,Madera,Madera,CA,madera
,ARENA DISTIBUTING INC.,Aliso Viejo,Orange,CA,aliso viejo
,AREVALO TORTILLERIA INC,Montebello,Los Angeles,CA,montebello
,ARIAS TRUCKING,Santa Maria,Santa Barbara,CA,santa maria
,ARIES PREPARED BEEF CO.,Burbank,Los Angeles,CA,burbank
,ARIS WHOLESALE LLC,Santa Fe Springs,Los Angeles,CA,santa fe springs
1239508.0,ARJAN TRANS INC..,BAKERSFIELD,Kern,CA,bakersfield
