NAME,households,median_income,mean_income
"East Whittier CDP, California",3346,82612,94965
"Edgewood CDP, California",13,72188,75769
"Edison CDP, California",100,-,39280
"Edmundson Acres CDP, California",61,56250,66966
"Edna CDP, California",120,145808,190654
"Edwards AFB CDP, California",695,72188,87843
"El Adobe CDP, California",23,64688,64130
"El Cajon city, California",35003,58193,78839
"El Centro city, California",11798,49244,68056
"El Centro Naval Air Facility CDP, California",42,53333,81164
"El Cerrito city, California",10569,116875,154490
"El Cerrito CDP, California",1401,110469,116970
"El Dorado Hills CDP, California",16848,139810,181784
"Eldridge CDP, California",375,193246,273179
"Elfin Forest CDP, California",161,202933,216305
"El Granada CDP, California",2138,182174,220775
"Elizabeth Lake CDP, California",700,84000,99282
"Elk Creek CDP, California",53,-,95211
"Elk Grove city, California",54262,106797,123151
"Elkhorn CDP, California",388,94000,109377
"El Macero CDP, California",380,157222,225531
"Elmira CDP, California",141,64574,77389
"El Monte city, California",28731,56524,72148
"El Monte Mobile Village CDP, California",0,-,-
"El Nido CDP, California",76,48793,113842
"El Paso de Robles (Paso Robles) city, California",11960,75569,94497
"El Portal CDP, California",199,45221,57504
"El Rancho CDP, California",10,-,-
"El Rio CDP, California",1723,63270,82313
"El Segundo city, California",7070,126683,154026
"El Sobrante CDP (Contra Costa County), California",5328,101536,123842
"El Sobrante CDP (Riverside County), California",3756,133667,170545
"El Verano CDP, California",1242,86548,104794
"Elverta CDP, California",1647,86685,100571
"Emerald Lake Hills CDP, California",1572,"250,000+",412217
"Emeryville city, California",7256,109960,134951
"Empire CDP, California",1169,42204,57373
"Encinitas city, California",23746,132276,187124
"Escalon city, California",2866,67176,114869
"Escondido city, California",50456,70115,90732
"Esparto CDP, California",1081,87837,120478
"Etna city, California",295,48523,50798
"Eucalyptus Hills CDP, California",1886,105833,114406
"Eureka city, California",10808,46926,69007
"Exeter city, California",3175,55519,78101
"Fairbanks Ranch CDP, California",833,231721,295678
"Fairfax CDP, California",459,-,66702
"Fairfax town, California",3410,111290,131887
"Fairfield city, California",37176,92625,113117
"Fairhaven CDP, California",125,49750,67696
"Fairmead CDP, California",435,40729,61670
"Fair Oaks CDP, California",12846,99629,130862
"Fairview CDP, California",3660,135880,170794
"Fallbrook CDP, California",10134,73165,96753
"Fall River Mills CDP, California",238,-,70936
"Farmersville city, California",2779,48262,55317
"Farmington CDP, California",51,-,59747
"Fellows CDP, California",29,113125,135310
"Felton CDP, California",1441,107159,132764
"Ferndale city, California",602,62500,91058
"Fetters Hot Springs-Agua Caliente CDP, California",1350,90515,125331
"Fiddletown CDP, California",82,103403,95450
"Fieldbrook CDP, California",327,71875,94892
"Fields Landing CDP, California",126,66068,61298
"Fillmore city, California",4812,78024,92723
"Firebaugh city, California",2250,36667,50485
"Fish Camp CDP, California",0,-,-
"Florence-Graham CDP, California",14469,53478,65197
"Florin CDP, California",15199,53921,73135
"Floriston CDP, California",14,-,N
"Flournoy CDP, California",49,75625,81778
"Folsom city, California",27275,128421,147050
"Fontana city, California",55307,83468,99583
"Foothill Farms CDP, California",12698,57810,68746
"Forbestown CDP, California",112,85582,72223
"Ford City CDP, California",1252,41858,51643
"Foresthill CDP, California",547,56203,66884
"Forest Meadows CDP, California",550,85962,92548
"Forest Ranch CDP, California",791,137216,221001
"Forestville CDP, California",1510,88594,116176
"Fort Bidwell CDP, California",90,34286,56791
"Fort Bragg city, California",2925,46174,64500
"Fort Dick CDP, California",544,59894,89851
"Fort Hunter Liggett CDP, California",0,-,-
"Fort Irwin CDP, California",2790,58000,63701
"Fort Jones city, California",279,29716,43800
"Fortuna city, California",4901,53526,73418
