clean_city,NAME,NAMELSAD,num_firms,44-45_RCPTOT,72_RCPTOT,31-33_RCPTOT,median_income,households,mean_income,land_value,property_value,diesel
,,Angwin CDP,0.0,9206.0,,,119583.0,787.0,129897.0,234600.00000000003,641900.0,5.6894
,,Anza CDP,0.0,13901.0,1330.0,,48686.0,758.0,74371.0,42200.0,207900.0,5.444599999999999
,,Aptos CDP,0.0,86788.0,,,116583.0,2621.0,154143.0,399116.710863127,827197.1500879421,5.6268
,,Arbuckle CDP,0.0,14833.0,,,73614.0,744.0,84649.0,46600.0,249500.0,
,,Arcata city,0.0,212589.0,86694.0,82082.0,39069.0,7081.0,62147.0,,,
,,Arden-Arcade CDP,0.0,2259136.0,276099.0,36484.0,56805.0,39079.0,91402.0,150445.83180987134,408551.97092621133,5.464799999999999
,,Armona CDP,0.0,8533.0,2635.0,,53361.0,1083.0,68314.0,46229.789379609014,210186.7192371246,5.4106000000000005
,,Arnold CDP,0.0,50806.0,8298.0,,68558.0,1019.0,114144.0,38398.002999144424,304380.26298727706,
,,Aromas CDP,0.0,,,,165000.0,882.0,176670.0,174409.447294696,518009.9977693684,5.645199032888553
,,Ashland CDP,0.0,112237.0,15705.0,,71002.0,7575.0,90052.0,258318.8208915015,662954.1592831911,5.615399999999999
,,Atherton town,0.0,,9538.0,,250000.0,2244.0,539944.0,2246979.929991027,2852931.894554915,5.6444
,,Auburn Lake Trails CDP,0.0,,1799.0,,113663.0,1516.0,120590.0,42800.0,301700.0,
,,Auburn city,0.0,244642.0,57747.0,72221.0,72409.0,6236.0,102875.0,94514.60166086344,365941.2343449063,
,,August CDP,0.0,28303.0,2111.0,,43857.0,2410.0,66827.0,54908.19644613667,236321.84213302372,5.4856
,,Avalon city,0.0,43328.0,94733.0,,78221.0,1501.0,92890.0,,,5.575200000000001
,,Avenal city,0.0,27655.0,2386.0,,52080.0,3036.0,58741.0,30200.0,177100.0,5.4106000000000005
,,Avocado Heights CDP,0.0,118437.0,26885.0,,90398.0,3602.0,108221.0,271807.2312268165,556019.0293932593,5.5752000000000015
,,Balance of Alameda County,0.0,73909.0,,274462.0,,,,,,
,,Balance of Amador County,0.0,264429.0,253900.0,,,,,,,
,,Balance of Butte County,0.0,,8315.0,298532.0,,,,,,
,,Balance of Calaveras County,0.0,94754.0,30733.0,,,,,,,
,,Balance of Colusa County,0.0,4922.0,,,,,,,,
,,Balance of Contra Costa County,0.0,269045.0,60939.0,4287153.0,,,,,,
,,Balance of Del Norte County,0.0,,,,,,,,,
,,Balance of El Dorado County,0.0,,47847.0,55079.0,,,,,,
,,Balance of Fresno County,0.0,518747.0,102632.0,2097401.0,,,,,,
,,Balance of Glenn County,0.0,16881.0,2202.0,,,,,,,
,,Balance of Humboldt County,0.0,389421.0,135724.0,304574.0,,,,,,
,,Balance of Imperial County,0.0,,10559.0,,,,,,,
,,Balance of Inyo County,0.0,36553.0,79658.0,,,,,,,
,,Balance of Kern County,0.0,1307746.0,183860.0,3821553.0,,,,,,
,,Balance of Kings County,0.0,,,485248.0,,,,,,
,,Balance of Lake County,0.0,164259.0,71552.0,,,,,,,
,,Balance of Lassen County,0.0,36262.0,4442.0,,,,,,,
,,Balance of Los Angeles County,0.0,997643.0,,3533745.0,,,,,,
,,Balance of Madera County,0.0,213609.0,,485584.0,,,,,,
,,Balance of Marin County,0.0,,,37150.0,,,,,,
,,Balance of Mendocino County,0.0,428277.0,,703108.0,,,,,,
,,Balance of Merced County,0.0,288707.0,,4746637.0,,,,,,
,,Balance of Modoc County,0.0,2840.0,,,,,,,,
,,Balance of Mono County,0.0,27434.0,45176.0,,,,,,,
,,Balance of Monterey County,0.0,668051.0,,952858.0,,,,,,
,,Balance of Napa County,0.0,187673.0,,3304441.0,,,,,,
,,Balance of Nevada County,0.0,198334.0,,84410.0,,,,,,
,,Balance of Orange County,0.0,138164.0,,,,,,,,
,,Balance of Placer County,0.0,449426.0,1202790.0,211618.0,,,,,,
,,Balance of Riverside County,0.0,317433.0,1079151.0,361587.0,,,,,,
,,Balance of Sacramento County,0.0,,60723.0,,,,,,,
,,Balance of San Benito County,0.0,,,687818.0,,,,,,
,,Balance of San Bernardino County,0.0,,195515.0,2111992.0,,,,,,
,,Balance of San Diego County,0.0,603266.0,1541027.0,847459.0,,,,,,
,,Balance of San Joaquin County,0.0,,80155.0,2334986.0,,,,,,
,,Balance of San Luis Obispo County,0.0,,,,,,,,,
,,Balance of San Mateo County,0.0,,,,,,,,,
,,Balance of Santa Barbara County,0.0,129668.0,,306199.0,,,,,,
,,Balance of Santa Clara County,0.0,,70169.0,65303.0,,,,,,
,,Balance of Santa Cruz County,0.0,52994.0,44497.0,89835.0,,,,,,
,,Balance of Shasta County,0.0,,101127.0,283474.0,,,,,,
,,Balance of Siskiyou County,0.0,83987.0,29098.0,,,,,,,
,,Balance of Solano County,0.0,,,,,,,,,
,,Balance of Sonoma County,0.0,,235955.0,3300656.0,,,,,,
,,Balance of Stanislaus County,0.0,1208228.0,40222.0,,,,,,,
,,Balance of Sutter County,0.0,69755.0,,,,,,,,
,,Balance of Tehama County,0.0,,,369091.0,,,,,,
,,Balance of Trinity County,0.0,8659.0,,,,,,,,
,,Balance of Tulare County,0.0,,52132.0,2121332.0,,,,,,
,,Balance of Tuolumne County,0.0,,,,,,,,,
,,Balance of Ventura County,0.0,111585.0,40388.0,673063.0,,,,,,
,,Balance of Yolo County,0.0,525464.0,,535748.0,,,,,,
,,Balance of Yuba County,0.0,21473.0,13528.0,,,,,,,
,,Banning city,0.0,235665.0,48710.0,,46834.0,10912.0,64635.0,46804.66229351917,252387.53751284,5.444600009237249
,,Barstow city,0.0,691406.0,110664.0,,48219.0,8543.0,60172.0,20074.60153039195,151683.57333145858,5.4656
,,Beale AFB CDP,0.0,,,,52552.0,335.0,70768.0,,,5.287599999999999
,,Bear Valley Springs CDP,0.0,,,,89281.0,2291.0,113986.0,23800.0,221099.99999999997,5.6938
,,Bell city,0.0,157674.0,67028.0,,51183.0,8775.0,63209.0,241600.0,531400.0,5.575200000000001
,,Ben Lomond CDP,0.0,39270.0,1757.0,,104107.0,2700.0,140747.0,291838.29164435086,664442.8419293062,5.6268
,,Berkeley city,0.0,1585960.0,617079.0,1907776.0,97834.0,44195.0,144355.0,733004.9548560428,1307495.6992921976,5.615399999999999
,,Bermuda Dunes CDP,0.0,109314.0,15899.0,,71573.0,2821.0,93498.0,87754.53363275627,331567.14815411094,5.444599999999999
,,Bertsch-Oceanview CDP,0.0,,,,59931.0,823.0,73513.0,,,
,,Big Bear Lake city,0.0,183619.0,92198.0,,65441.0,2136.0,99096.0,134518.09970580036,425725.0200815057,5.4656
,,Blackhawk CDP,0.0,21460.0,12347.0,,210313.0,3992.0,296809.0,607120.2761686526,1018163.3317625768,5.615399999999999
,,Blythe city,0.0,175814.0,35367.0,,49235.0,3945.0,66257.0,27194.79603420248,194678.84765259025,5.444599999999999
,,Bonadelle Ranchos-Madera Ranchos CDP,0.0,15737.0,1923.0,,,,,42565.821529712,230852.05149664823,5.412599999999999
,,Bonny Doon CDP,0.0,2810.0,,,120170.0,1027.0,185119.0,288541.19213006424,702593.7263845602,5.6268
,,Bonsall CDP,0.0,15630.0,5147.0,,86442.0,1702.0,120967.0,144800.0,461700.0,5.4622
,,Borrego Springs CDP,0.0,9487.0,12840.0,,103390.0,1156.0,109833.0,18700.0,203900.0,5.4622
,,Bostonia CDP,0.0,58951.0,8294.0,,66407.0,5791.0,83897.0,188714.22666678505,497900.1033331261,5.4622
,,Boulder Creek CDP,0.0,32953.0,7024.0,,101207.0,2062.0,123348.0,263050.20664837235,628946.4476783858,5.6268
,,Boyes Hot Springs CDP,0.0,16118.0,25472.0,,79861.0,2689.0,108717.0,280311.1061584473,688286.044946796,5.612
,,Brentwood city,0.0,760552.0,143125.0,,125152.0,20509.0,148064.0,122277.12939290317,469396.4768688316,5.615399999999999
,,Bret Harte CDP,0.0,6227.0,617.0,,32375.0,1216.0,43381.0,56485.77348110451,244760.51018827164,5.5232
,,Brisbane city,0.0,264115.0,158762.0,307465.0,122202.0,1997.0,228299.0,645500.0,1149200.0,5.6444
,,Burlingame city,0.0,946539.0,586791.0,,150182.0,12418.0,207435.0,1481898.2425587017,1961970.311647418,5.6444
,,Burney CDP,0.0,33089.0,,,58443.0,1128.0,69560.0,30500.0,192599.99999999997,5.328000000000001
,,Bystrom CDP,0.0,15435.0,3512.0,,36102.0,1175.0,43316.0,56600.0,255700.0,5.523199999999999
,,Cabazon CDP,0.0,705636.0,292091.0,,65952.0,767.0,74755.0,29400.000000000004,190700.0,5.444599999999999
,,Calabasas city,0.0,766114.0,98790.0,,132838.0,8936.0,224208.0,718985.6652260893,1024454.0151370424,5.575201194693704
,,California City city,0.0,37519.0,5898.0,,44733.0,4512.0,68666.0,11710.709954301414,150388.5012075859,5.69377722364489
,,Calimesa city,0.0,77910.0,19012.0,,67835.0,3653.0,83652.0,58066.43460540557,288229.2950179848,5.4446023371280825
,,Calipatria city,0.0,8818.0,460.0,,39217.0,945.0,42913.0,,,5.5649999999999995
,,Calistoga city,0.0,53968.0,70398.0,,72861.0,2061.0,137026.0,295000.0,778400.0,5.689400000000001
,,Cambria CDP,0.0,40783.0,68620.0,,87744.0,2739.0,103451.0,343600.8823358231,731453.2994188662,5.82
,,Cambrian Park CDP,0.0,,3077.0,,222857.0,1258.0,278400.0,812739.1936489107,1238584.9251358826,5.5942
