,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,clean_city,regular,mid,premium,diesel
1219,06,57582,02409081,0657582,Planada,Planada CDP,planada,4.4396,4.6446,4.835,5.450400000000001
1220,06,57825,02408992,0657825,Pleasure Point,Pleasure Point CDP,pleasure point,4.6268,4.8768,5.002,5.6268
1221,06,57828,02409082,0657828,Plumas Eureka,Plumas Eureka CDP,plumas eureka,,,,
1222,06,57829,02583117,0657829,Plumas Lake,Plumas Lake CDP,plumas lake,4.3162,4.509,4.6781999999999995,5.287599999999999
1223,06,57960,02409084,0657960,Point Reyes Station,Point Reyes Station CDP,point reyes station,4.7588,4.946199999999999,5.1038,5.5982
1224,06,58030,02409086,0658030,Pollock Pines,Pollock Pines CDP,pollock pines,,,,
1225,06,58226,02409091,0658226,Port Costa,Port Costa CDP,port costa,4.6502,4.8524,4.9908,5.615399999999999
1226,06,58478,02628778,0658478,Potrero,Potrero CDP,potrero,4.6766,4.872,5.010800000000001,5.4622
1227,06,58506,02628779,0658506,Potter Valley,Potter Valley CDP,potter valley,,,,
1228,06,58618,02409103,0658618,Prattville,Prattville CDP,prattville,,,,
1229,06,58814,02628780,0658814,Proberta,Proberta CDP,proberta,,,,
1230,06,58870,02409105,0658870,Prunedale,Prunedale CDP,prunedale,4.7262,4.924,5.0846,5.7104
1231,06,59052,02409114,0659052,Quartz Hill,Quartz Hill CDP,quartz hill,4.685599999999999,4.8792,5.0066000000000015,5.575200000000001
1232,06,59080,02409118,0659080,Quincy,Quincy CDP,quincy,,,,
1233,06,59220,02409122,0659220,Rail Road Flat,Rail Road Flat CDP,rail road flat,,,,
1234,06,59248,02409123,0659248,Rainbow,Rainbow CDP,rainbow,4.676538924096039,4.8719465585840345,5.010747813568362,5.462190796781595
1235,06,59290,02409124,0659290,Raisin City,Raisin City CDP,raisin city,4.4984,4.6816,4.8458,5.515600000000001
1236,06,59346,02409128,0659346,Ramona,Ramona CDP,ramona,4.6766,4.872,5.010800000000001,5.4622
1237,06,59426,02409134,0659426,Rancho Calaveras,Rancho Calaveras CDP,rancho calaveras,,,,
1238,06,59506,02409136,0659506,Rancho Murieta,Rancho Murieta CDP,rancho murieta,4.5402000000000005,4.7362,4.8944,5.464799999999999
1239,06,59604,02409139,0659604,Rancho Tehama Reserve,Rancho Tehama Reserve CDP,rancho tehama reserve,,,,
1240,06,59668,02409143,0659668,Randsburg,Randsburg CDP,randsburg,4.6046,4.7696,4.9712000000000005,5.6938
1241,06,59906,02628781,0659906,Redcrest,Redcrest CDP,redcrest,,,,
1242,06,60088,02409154,0660088,Redway,Redway CDP,redway,,,,
1243,06,60214,02628782,0660214,Redwood Valley,Redwood Valley CDP,redwood valley,,,,
1244,06,60279,02583120,0660279,Reliez Valley,Reliez Valley CDP,reliez valley,4.6502,4.8524,4.9908,5.615399999999999
1245,06,60592,02628783,0660592,Richfield,Richfield CDP,richfield,,,,
1246,06,60606,02409166,0660606,Richgrove,Richgrove CDP,richgrove,4.5114,4.708,4.889,5.5364
1247,06,60706,02409168,0660706,Ridgemark,Ridgemark CDP,ridgemark,4.6662,4.8637999999999995,4.9976,5.5942
1248,06,60928,02409173,0660928,Rio del Mar,Rio del Mar CDP,rio del mar,4.6268,4.8768,5.002,5.6268
1249,06,60970,02583121,0660970,Rio Oso,Rio Oso CDP,rio oso,4.3162,4.509,4.6781999999999995,5.287599999999999
1250,06,61012,02583122,0661012,Ripley,Ripley CDP,ripley,4.5598,4.7698,4.9110000000000005,5.444599999999999
1251,06,61096,02409186,0661096,Riverdale,Riverdale CDP,riverdale,4.4984,4.6816,4.8458,5.515600000000001
1252,06,61106,02409187,0661106,Riverdale Park,Riverdale Park CDP,riverdale park,4.3578,4.5728,4.7512,5.5232
