random,trial_label,num_firms,count
1299,five_percent,0,309
1299,five_percent,1,60
1299,five_percent,2,33
1299,five_percent,3,26
1299,five_percent,4,90
1299,five_percent,5,7
6603,original,0,266
6603,original,1,76
6603,original,2,36
6603,original,3,29
6603,original,4,46
6603,original,5,72
6603,typical_business,0,266
6603,typical_business,1,77
6603,typical_business,2,36
6603,typical_business,3,28
6603,typical_business,4,49
6603,typical_business,5,69
6603,one_percent,0,269
6603,one_percent,1,78
6603,one_percent,2,32
6603,one_percent,3,30
6603,one_percent,4,50
6603,one_percent,5,66
6603,five_percent,0,277
6603,five_percent,1,81
6603,five_percent,2,36
6603,five_percent,3,30
6603,five_percent,4,64
6603,five_percent,5,37
4467,original,0,141
4467,original,1,54
4467,original,2,110
4467,original,3,23
4467,original,4,65
4467,original,5,132
4467,typical_business,0,141
4467,typical_business,1,54
4467,typical_business,2,110
4467,typical_business,3,23
4467,typical_business,4,67
4467,typical_business,5,130
4467,one_percent,0,141
4467,one_percent,1,54
4467,one_percent,2,115
4467,one_percent,3,23
4467,one_percent,4,65
4467,one_percent,5,127
4467,five_percent,0,150
4467,five_percent,1,57
4467,five_percent,2,122
4467,five_percent,3,15
4467,five_percent,4,74
4467,five_percent,5,107
3691,original,0,148
3691,original,1,64
3691,original,2,172
3691,original,3,25
3691,original,4,51
3691,original,5,65
3691,typical_business,0,148
3691,typical_business,1,64
3691,typical_business,2,172
3691,typical_business,3,28
3691,typical_business,4,51
3691,typical_business,5,62
3691,one_percent,0,154
3691,one_percent,1,62
3691,one_percent,2,172
3691,one_percent,3,29
3691,one_percent,4,51
3691,one_percent,5,57
3691,five_percent,0,189
3691,five_percent,1,65
3691,five_percent,2,140
3691,five_percent,3,47
3691,five_percent,4,57
3691,five_percent,5,27
3315,original,0,245
3315,original,1,63
3315,original,2,31
3315,original,3,58
3315,original,4,59
3315,original,5,69
3315,typical_business,0,246
3315,typical_business,1,63
3315,typical_business,2,33
3315,typical_business,3,55
3315,typical_business,4,62
3315,typical_business,5,66
3315,one_percent,0,254
3315,one_percent,1,66
3315,one_percent,2,32
3315,one_percent,3,50
3315,one_percent,4,64
3315,one_percent,5,59
3315,five_percent,0,285
3315,five_percent,1,65
3315,five_percent,2,19
3315,five_percent,3,56
3315,five_percent,4,76
3315,five_percent,5,24
8682,original,0,281
8682,original,1,74
8682,original,2,17
8682,original,3,3
8682,original,4,81
8682,original,5,69
8682,typical_business,0,281
8682,typical_business,1,74
8682,typical_business,2,17
8682,typical_business,3,3
8682,typical_business,4,90
8682,typical_business,5,60
8682,one_percent,0,283
8682,one_percent,1,74
8682,one_percent,2,17
8682,one_percent,3,2
8682,one_percent,4,93
8682,one_percent,5,56
8682,five_percent,0,299
8682,five_percent,1,76
8682,five_percent,2,10
8682,five_percent,3,6
8682,five_percent,4,104
8682,five_percent,5,30
6763,original,0,236
6763,original,1,82
6763,original,2,51
6763,original,3,26
6763,original,4,54
6763,original,5,76
6763,typical_business,0,236
6763,typical_business,1,84
6763,typical_business,2,51
6763,typical_business,3,26
6763,typical_business,4,52
6763,typical_business,5,76
6763,one_percent,0,241
6763,one_percent,1,84
6763,one_percent,2,46
6763,one_percent,3,34
6763,one_percent,4,50
6763,one_percent,5,70
6763,five_percent,0,265
6763,five_percent,1,95
6763,five_percent,2,28
6763,five_percent,3,30
6763,five_percent,4,59
6763,five_percent,5,48
4014,original,0,261
4014,original,1,43
4014,original,2,36
4014,original,3,70
4014,original,4,79
4014,original,5,36
4014,typical_business,0,261
4014,typical_business,1,43
4014,typical_business,2,37
4014,typical_business,3,69
4014,typical_business,4,80
4014,typical_business,5,35
4014,one_percent,0,263
4014,one_percent,1,43
4014,one_percent,2,35
4014,one_percent,3,69
4014,one_percent,4,80
4014,one_percent,5,35
4014,five_percent,0,273
4014,five_percent,1,59
